score,app,review,translated_review,label
5,Maxim,semoga kedepannya talangan g susah dapatnya karna saya jualan pake jasa maxim yg perlu talangan lama banget kalau cari driver yg mau talangan,"Hopefully in the future it won’t be so hard to find drivers who are willing to front the money, because I use Maxim which needs that, and it takes forever to find one.",1
3,Grab,tolong buat pusat grab perbaiki lagi jangan dikit di tangguhkan dan buat para driver jngn gampang melaporkan krna laporan km menghilangkan rezeki driver lainnya,"Please Grab HQ, improve your system — don't suspend drivers so easily, and tell drivers not to report over small things, because it affects other drivers’ incomes.",1
1,Gojek,woi gojek kalo mau bikin verifikasi minimal bisa depan belakang lah kamera ini depan doang apa si dulu ga pake verifikasi muka sekarang jadi pake mau bikin protect drivernya masih bisa jual beli account kocak lu gojek,"Hey Gojek, if you're going to do face verification, at least use front and back cameras. This one’s just front-facing. You didn’t even use face verification before, and now that you do, people are still able to buy and sell accounts. Ridiculous.",1
1,Maxim,aplikasi ini sangat baiktapi yang bikin jelek itu drive yang cara bicaranya tidak sopan dan tidak pantas untuk di dengaringin rasanya berhenti gunakan apalikasi initapi tidak semua driver yang gituini untuk beberapa driver saja,"This app is great, but what ruins it are the drivers who talk rudely and inappropriately. Makes me want to stop using the app. Not all drivers are like that, though — just a few.",1
3,Maxim,maxsim bagus tapi sayang nya nga ada fitur telpon buat driver sama buat poto klo di gojek ada tolong buat amit maxsim biar ada telpon donk,"Maxim is good, but sadly it doesn’t have a call feature for contacting the driver or for taking pictures like Gojek does. Please add those features, Maxim.",0
1,Grab,di semua daerah malang gak ada titik lokasinya jadi bingung mau ngeklik terus driver daerah malang gak profesional aku diturunin di jauh titik lokasi,"In all parts of Malang, there are no pickup point markers, so it's confusing. Also, the drivers in Malang are unprofessional — they dropped me far from the marked point.",0
4,Gojek,adanya gojek sangat membantu kami dalam bepergiandengan menggunakan aplikasi gojek sangat memudahkan kami dalam melakukan pemesanansehingga memperlancar dan mempersingkat waktu tunggu kami,"Gojek is really helpful for our travels. The app makes ordering easy, which makes the whole process faster and more efficient.",1
1,Maxim,suka dapat driver yang ga ramah ngomong nya kasar memang ga semua tapi sering,"I often get drivers who are unfriendly and talk rudely. Not all, but it happens a lot.",1
2,Gojek,makin mahal ongkosnya tapi katanya bayar buat abang ojolnya ga naik potongan ongkos dari pihak gojek nya gede pantesan pada lari ke indriver,"The fares keep going up, but drivers say their pay doesn’t increase. Gojek’s cut is huge — no wonder they’re switching to InDriver.",1
5,Maxim,keren sih cuma sayang drivernya kurang banyak disaat yang lain kyak gojk dan grb ga mau nerima ini mau nerima pokoknya recommend lah,"Pretty cool, but the problem is there aren’t enough drivers. While other apps like Gojek and Grab won’t accept the order, this one does. So I recommend it.",1
5,Maxim,recommended bintang 5 drivernya oke oke jempol 5 top markotop untuk pihak jasa aplikasi sarannya update fitur terkini supaya tidak ketinggalan dengan aplikasi sebelah good job maxim sukses teruss,"Highly recommended! 5 stars — the drivers are great! Thumbs up! Just a suggestion for the app: update the features so it stays ahead of competitors. Good job Maxim, keep it up!",1
5,Gojek,kenapa yaaa ko sering dapet nya yg jauh jauh terus jmpt nyatolong dong kasian driver nya jmpt ny jauh,"Why do I always get drivers that are super far away? Please fix it, I feel bad for the drivers who have to travel so far.",1
1,Gojek,2 kali pesen nunggu 2 jam lebih gak dapet driver pas mau di batalin malah di tolak sama gojeknya maksud nyaa apaahh yaaaa keburu tengah malem nungguin nyaaaa,"I ordered twice and waited over 2 hours, no driver accepted. When I tried to cancel, Gojek rejected it. What was that about? I ended up waiting until midnight.",0
1,Grab,seperti hilang tanggung jawab aplikasi tidak menyediakan admin secara langsung untuk menanggapi keluhan pelanggan di pusat bantuan nya semua pesan itu robot yang tidak berguna admin nya tidak ada seolah tidak mau tanggung jawab dengan apa yang terjadi,It's like they avoid responsibility. The app doesn’t have live support — just a useless robot in the help center. No real admins at all. Like they don’t want to take responsibility.,1
5,Gojek,akun saya tibatiba tidak bisa login ya allah padahal pencarian rezeki saya hanya digojek ini udah berjuang membangun nama gojek ini sampai sukses,"My account suddenly can’t log in. Oh God, this is my only income source. I’ve worked hard to build my name with Gojek.",0
1,Gojek,mau ganti email doang berapa kali dicoba ga bisa2 gada solusi dan lain lain gojek kontoll,"I just want to change my email but no matter how many times I try, it doesn’t work. No solution. Gojek, you're so annoying.",1
5,Gojek,aplikasi sangat membantu dan mudah di gunakan dan ya aku pernah go ride cuma bayar 4k tau,The app is super helpful and easy to use. One time I used GoRide and only paid 4k.,1
1,Maxim,maxin sangat ribet menentukan lokasi tidak seperti gojek atau grab sangat kecewa mohon di evaluasi kembali apk maxim,Maxim is so frustrating when it comes to setting a location — not like Gojek or Grab. Very disappointed. Please reevaluate the app.,1
5,Grab,sebagai seorang pengemudi faktor keselamatan adalah yg paling utama diperhatikan selanjutnya adalah kebersihan n kerapian kendaraan maupun driver nya,"As a driver, safety is the top priority. After that comes cleanliness and the neatness of the vehicle and the driver.",1
1,Gojek,pelayanan gocar makin buruk pesen gocar banyak drivernya gak respon kadang malah mnjauh dr lokasi tp gk mau cancel tolong aplikasi gojek aware sm driver2 kyk gini sangat mengecewakan,"Gocar’s service is getting worse. I order, and many drivers don't respond. Some even drive away but won’t cancel. Gojek, please address these kinds of drivers — it’s very disappointing.",1
5,Maxim,trmksh bnyak driver sangat ramah dan baiktrmksh sdh membantu mngendong ank smp k rmh ank kondisi sakit trmksh sllu nerbuat baik ya omm,"Thank you so much — the driver was kind and helpful, even carried my sick child home. God bless you, sir. Always be kind like that.",1
5,Gojek,apknya bagus cuman ini ada saran dari saya tolong adain fitur ganti ratingbintang saya pernah salah kasih rating karena hp error padahal mau kasih bintang 5 kasian drivernya,"The app is good, but here’s my suggestion: please add a feature to change your rating. I accidentally gave a wrong rating because of a phone glitch — I actually wanted to give 5 stars. I feel bad for the driver.",1
5,Maxim,anugerah dewantoro trima kasih banyak ya mas sangat membantu banget tahu banget rutenya pelayanan ramah good job mugi gusti tansyah maringi rejeki lancar ksehatan juga keselamatan aamiin,"Anugerah Dewantoro, thank you so much sir! Super helpful, knew the route well, kind service. Good job! May God grant you smooth sustenance, good health, and safety. Amen.",1
5,Grab,saya baru kali coba transport garap saya ndak tau apakah semua driver garap doktrinnya seperti yg saya alami ramah baik nyaman pokoknya markotop lah,"I just tried Transport Garap and I’m not sure if all drivers are trained like the one I had — polite, friendly, and comfortable. Totally awesome.",1
3,Gojek,halo gojek aplikasi saya tidak bisa dibuka saya sudah menggunakan versi yang terbaru setiap masuk aplikasi selalu keluar tolong bantuannya,"Hi Gojek, my app can’t open. I already updated to the latest version, but it keeps crashing. Please help.",0
4,Gojek,saya memberi bintang 4 karena maps di gojek masih suka tidak bergerak saat driver gojek nya sudah sampai ke tujuan,I gave 4 stars because the map on Gojek still often doesn’t move even when the driver has already arrived.,0
1,Gojek,sumpah gojek ama drivernya jahat banget sama gue udah dapet bilang otw kena cancel mulu mana susah banget dapetnya yaallah,"I swear Gojek and the driver are so mean to me—already got a ride, they said ""on the way,"" then kept getting canceled. It’s so hard to get one, oh God.",1
1,Gojek,gojek kalo abis ujan susah nyari driver 510 giliran dpat jarak drivernya jauh banget padahal yg deket banyak tapi malah ga dapat aneh ini apk,"After it rains, it’s hard to find a Gojek driver. When you finally get one, the driver is super far even though there are many nearby—this app is weird.",1
4,Gojek,dengan adanya gojeksaya khususnyasangat terbantu kalau lg malas keluar rmhsmg pelayanannya trus ditingkatkandari baik menjadi lbh baik lgmaksh gojek,"With Gojek, especially for me, it really helps when I’m feeling lazy to go out. Hopefully the service keeps improving from good to even better. Thanks, Gojek.",1
1,Gojek,hari ini dapet driver g d respon nungguin lama g ada d jemput hampir sejam nungguin mulai hari ini uninstall aplikasi habis ini ada notifikasi balasan mohon maaf tapi tidak ada perubahan lihat komentar d bawah di tanggal tanggal sebelumnya sangat buruk,"Today I got a driver who didn’t respond, waited forever, never picked me up. Waited almost an hour. Uninstalling the app starting today. Even after they apologized, nothing changed. Look at previous comments—really bad.",1
