review,label
semoga kedepannya talangan tidak susah dapatnya karena saya jualan pakai jasa maxim yang perlu talangan lama banget kalau cari driver yang mau talangan,1
tolong buat pusat grab perbaiki lagi jangan sedikit di tangguhkan dan buat para driver jangan gampang melaporkan karena laporan kamu menghilangkan rezeki driver lainnya,1
hei gojek kalau mau bikin verifikasi minimal bisa depan belakang lah kamera ini depan saja apa si dulu tidak pakai verifikasi muka sekarang jadi pakai mau bikin protect drivernya masih bisa jual beli account kocak kamu gojek,1
aplikasi ini sangat baik tapi yang bikin jelek itu drive yang cara bicaranya tidak sopan dan tidak pantas untuk di dengar ingin rasanya berhenti gunakan apalikasi ini tapi tidak semua driver yang gituini untuk beberapa driver saja,1
maxim bagus tapi sayang nya tidak ada fitur telepon buat driver sama buat foto kalau di gojek ada tolong buat amit maxim biar ada telepon dong,0
di semua daerah malang tidak ada titik lokasinya jadi bingung mau ngeklik terus driver daerah malang tidak profesional aku diturunin di jauh titik lokasi,0
adanya gojek sangat membantu kami dalam bepergian dengan menggunakan aplikasi gojek sangat memudahkan kami dalam melakukan pemesanan sehingga memperlancar dan mempersingkat waktu tunggu kami,1
suka dapat driver yang tidak ramah ngomong nya kasar memang tidak semua tapi sering,1
makin mahal ongkosnya tapi katanya bayar buat abang ojolnya tidak naik potongan ongkos dari pihak gojek nya besar pantesan pada lari ke indriver,1
keren sih cuma sayang drivernya kurang banyak disaat yang lain kyak gojek dan grab tidak mau menerima ini mau menerima pokoknya recommend lah,1
recommended bintang 5 drivernya oke oke jempol 5 top markotop untuk pihak jasa aplikasi sarannya update fitur terkini supaya tidak ketinggalan dengan aplikasi sebelah good job maxim sukses terus,1
kenapa ya ko sering dapat nya yang jauh jauh terus jmpt nyatolong dong kasian driver nya jmpt nya jauh,1
2 kali pesan menunggu 2 jam lebih tidak dapat driver pas mau di membatalkan malah di tolak sama gojeknya maksud nya apaahh ya keburu tengah malam menunggu nya,0
seperti hilang tanggung jawab aplikasi tidak menyediakan admin secara langsung untuk menanggapi keluhan pelanggan di pusat bantuan nya semua pesan itu robot yang tidak berguna admin nya tidak ada seolah tidak mau tanggung jawab dengan apa yang terjadi,1
akun saya tibatiba tidak bisa login ya allah padahal pencarian rezeki saya hanya digojek ini sudah berjuang membangun nama gojek ini sampai sukses,0
mau ganti email saja berapa kali dicoba tidak bisa bisa tidak ada solusi dan lain lain gojek kontoll,1
aplikasi sangat membantu dan mudah di gunakan dan ya aku pernah go ride cuma bayar 4 ribu tahu,1
maxim sangat ribet menentukan lokasi tidak seperti gojek atau grab sangat kecewa mohon di evaluasi kembali aplikasi maxim,1
sebagai seorang pengemudi faktor keselamatan adalah yang paling utama diperhatikan selanjutnya adalah kebersihan dan kerapian kendaraan maupun driver nya,1
pelayanan gocar makin buruk pesan gocar banyak drivernya tidak respon kadang malah menjauh dari lokasi tapi tidak mau cancel tolong aplikasi gojek aware sama driver driver seperti begini sangat mengecewakan,1
terima kasih banyak driver sangat ramah dan baiktrmksh sudah membantu mngendong anak sampai k rumah anak kondisi sakit terima kasih sllu nerbuat baik ya omm,1
aplikasinya bagus hanya ini ada saran dari saya tolong mengadakan fitur ganti ratingbintang saya pernah salah kasih rating karena hp error padahal mau kasih bintang 5 kasian drivernya,1
anugerah dewantoro trima kasih banyak ya mas sangat membantu banget tahu banget rutenya pelayanan ramah good job mugi gusti tansyah maringi rejeki lancar ksehatan juga keselamatan aamiin,1
