review,label
gojek makin kesini makin gjls segitu banyak nya gojek di dekat stasiun tidak ada yang mengambil sama sekali posisi saya lagi mau kerja buru buru lebih baik ojek pangkalan meskipun mahal yang penting sat set,1
mohon penjelasan nya an nusron driver b 1961 rop kenapa tarif nya rp 97500 jadi rp 107000 berangkat sedangkan balik pulang tarifnya sesuai rp 99500 driver z 1517 em an wahyu hidayat oke,0
kepada yth maxim mohon mohon banget ongkosnya di naikkan lagi kalau cuaca sedang hujan apalagi kalau sedang hujan deras kasihan banget sama driver nya,1
bingung deh soal algoritma program ini paramernya bagaimana ya seharusnya jika tidak mendapatkan driver sesuai dengan tenggat waktu harusnya batal lah kalau sampai menunggu sampai dapat driver nunggunya kelamaan,1
ini tolong benar kacau selalu kacaunya apalagi gocar kalau memang lagi nganter penumpang driver nya itu tidak usah ambil penumpang dulu coy tolong lah lama kami menunggu tolong di perbaiki lagi,1
tolong dong untuk penyedia aplikasi dibenahi maps yang di aplikasi nya biar user dan driver tidak kebingungan masa maps nya diputerin puterin padahal bisa pakai jalan yang umum dilewati orangorang,0
makin kesini makin jelek saya sering tlat gara kata driver grab map tidak akurat tolong dprbaiki tahu balikin lagi google map biar costumer tidak pindah ke aplikasi se belah,0
saya selaku driver kecewa kepada sistem gojekberpihak sebelah kepada customersaya lagi mengejar bonus weekendtp penumpang yang cancel tapi performa saya turun padahal penumpang yang cancelotomatis gagal bonusnya tidak kekejar jadi sia semangat mengejar bonus malah gagall,0
halo gojek bisakah kalian menyediakan verifikasi via gmail karena nomor whaatsap dan sms yang diregistrasikan sudah lama tidak aktif dan pin akun saya juga lupa bisakah kalian membuat metode verifikasi melalui email terima kasih gojek,0
diskon nya sedikit banget padah sudah langganan pakai gojek saran saja kalau pengguna langganan dikasih diskon,1
saya berlangganan maxim sudah ber tahun tahun tapi saat ini tidak bisa update karena no hp hangusbagaimana caranya supaya bisa mengginakan jasa ojek maxim mohon infonya terima kasih,0
lama dapat driver estimasi 30 40 menit sudah 2 jam tidak sampai sampai kacau chat bantuan berbelit belit,0
menu pencarian tujuan masih kurang lengkap masa sekelas bandara internasional tidak ketemu di aplikasi maxim aneh kan,0
bukannya memeberikan yang terbaik buat pengguna malah pengguna diperas dengan adanya fitur pencarian driver jek jek,1
