review,label
semoga kedepan talangan g susah dapat karna jualan pakai jasa maxim perlu talangan lama banget kalau cari driver mau talangan,1
buat pusat grab perbaiki jangan dikit tangguhkan buat driver jngn gampang melaporkan krna laporan km menghilangkan rezeki driver lain,1
woi gojek kalo mau bikin verifikasi minimal depan belakang lah kamera depan doang apa si dulu tidak pakai verifikasi muka sekarang jadi pakai mau bikin protect driver jual beli account kocak lu gojek,1
aplikasi sangat baik bikin jelek drive cara bicara tidak sopan tidak pantas dengaringin rasa berhenti gunakan apalikasi initapi tidak semua driver gituini beberapa driver,1
maxsim bagus sayang nya nga fitur telpon buat driver sama buat poto kalau gojek buat amit maxsim biar telpon donk,0
semua daerah malang tidak titik lokasi jadi bingung mau ngeklik terus driver daerah malang tidak profesional aku diturunin jauh titik lokasi,0
ada gojek sangat membantu bepergiandengan menggunakan aplikasi gojek sangat memudahkan melakukan pemesanansehingga memperlancar mempersingkat waktu tunggu,1
suka driver tidak ramah ngomong nya kasar memang tidak semua sering,1
makin mahal ongkos kata bayar buat abang ojol tidak naik potongan ongkos pihak gojek nya gede pantesan lari indriver,1
keren sih cuma sayang driver kurang banyak disaat kyak gojk grb tidak mau nerima mau nerima pokok recommend lah,1
recommended bintang 5 driver oke oke jempol 5 top markotop pihak jasa aplikasi saran update fitur terkini tidak ketinggalan aplikasi sebelah good job maxim sukses teruss,1
ko sering dapet nya jauh jauh terus jmpt nyatolong dong kasian driver nya jmpt ny jauh,1
2 kali pesen nunggu 2 jam lebih tidak dapet driver pas mau batalin malah tolak sama gojek maksud nyaa apaahh keburu tengah malem nungguin nya,0
hilang tanggung jawab aplikasi tidak menyediakan admin langsung menanggapi keluhan pelanggan pusat bantuan nya semua pesan robot tidak berguna admin nya tidak tidak mau tanggung jawab apa terjadi,1
akun tibatiba tidak login allah padahal pencarian rezeki digojek berjuang membangun nama gojek sukses,0
mau ganti email doang berapa kali dicoba tidak bisa2 gada solusi gojek kontoll,1
aplikasi sangat membantu mudah gunakan aku pernah go ride cuma bayar 4k tau,1
maxin sangat ribet menentukan lokasi tidak gojek grab sangat kecewa mohon evaluasi apk maxim,1
seorang pengemudi faktor keselamatan paling utama diperhatikan selanjut kebersihan n kerapian kendaraan maupun driver nya,1
pelayanan gocar makin buruk pesen gocar banyak driver tidak respon kadang malah mnjauh dr lokasi tp tidak mau cancel aplikasi gojek aware sm driver2 kyk gini sangat mengecewakan,1
trmksh bnyak driver sangat ramah baiktrmksh sdh membantu mngendong ank smp k rmh ank kondisi sakit trmksh sllu nerbuat baik omm,1
apk bagus cuman saran adain fitur ganti ratingbintang pernah salah kasih rating hp error padahal mau kasih bintang 5 kasian driver,1
anugerah dewantoro trima kasih banyak mas sangat membantu banget tahu banget rute pelayanan ramah good job mugi gusti tansyah maringi rejeki lancar ksehatan keselamatan aamiin,1
baru kali coba transport garap ndak tau semua driver garap doktrin alami ramah baik nyaman pokok markotop lah,1
halo gojek aplikasi tidak dibuka menggunakan versi terbaru masuk aplikasi selalu keluar bantuan,0
memberi bintang 4 maps gojek suka tidak bergerak driver gojek nya tujuan,0
sumpah gojek ama driver jahat banget sama gue dapet bilang on the way kena cancel mulu mana susah banget dapet yaallah,1
gojek kalo abis ujan susah nyari driver 510 giliran dpat jarak driver jauh banget padahal deket banyak malah tidak aneh apk,1
ada gojeksaya khususnyasangat terbantu kalau malas keluar rmhsmg pelayanan trus ditingkatkandari baik menjadi lbh baik lgmaksh gojek,1
hari dapet driver g d respon nungguin lama g d jemput hampir sejam nungguin mulai hari uninstall aplikasi habis notifikasi balasan mohon maaf tidak perubahan lihat komentar d bawah tanggal tanggal sebelum sangat buruk,1
aplikasi gojek apa selalu lama jemput customer bilang 1 menit tp datang 5 menit kemudian tidak jels tidak usah pakai apk,1
tetap sy ksh tp saran kalau hujan jgn susah krna hujan grabcar sangat butuhkan,1
verifikasi muka bukan mempermudah malah mempersulit muka pas malah tak terdeteksi makin gajelas gojek bikin gregetan aja,1
maps sering tidak bergerakdriver nya muter2pesan gocar prioritas menunggu 30 menit padahal jalanan lancar,0
makin lama makin tidak beres nya aplk gojek mesan gocar selalu cancel pengemudi selalu susah buat dapati pengemudi diperbaiki la,1
driver nya ramah baik pelanggan pu trauma jatuh driver mau nurutin pelan pelan driver sangat terpercaya terima kasih pak driver sehat sehat terus pak,1
banyak kendaraan roda dua tidak layak pakai diberikan jadi driver maxim pelayanan kenyamanan diutamakan,1
driver cari benar baik 2 kali driver kurang ajar padahal percaya pakai maxim,1
grab tidak jelas makin hari makin naik grab hemat lama kalo naik terus gini gamau pakai grabdan driver suka tidak jalan tungguin lama,1
sangat membantu perjalanan memudahkan mencapai tempat dituju mempermudah mendapatkan diinginkan,1
aplikasi nya selalu tidak akurag mrncari titik penjemputan tujuan nya pakai gps bagus dong perbaiki gps nya biar banyak pengguna nya,1
aplikasi tidak jelas susah cari gocar cancel seenak padahal nunggu lama pelayanan diperbaiki g kompensasi,1
cari gocar lama banget mau tf bank lama banget loading nya tidak muncul2,1
makin kesini makin g jelas banyak iklan nya org nunggu driver tiba tiba d alihkan halaman iklan,0
eror apa gimana belakangan driver jauh terus padalah prioritas gitu pihak driver suka ngecancel tiba tiba,1
download nya lama sekalidiskon cuma awal pakaitapi enak gojek nya selalu dpet ramah baik 9510 aplikasi,1
gojek topp bangett mksih bangett buat orang bikin apk inii inii ngebantu bangett buat sayaa banyakk ceritaa pengalaman seruu gojek sabar nunggu cerita tahun 2025 nantii bareng gojekk capslock bukan marah yaa jek,1
perbarui apk nya ta3k banget sama driver suka cancel suspend aja suka cancel mau kerjain driver pesenpas sampe cancel,1
mohon pertimbangkan merekrut driver gojek kebanyakan gojek sekarang tidak memiliki attitude baik alias kasaryang non costumer banyak mengeluh mohon selisihkan driver tidak memiliki attitude baik terimakasih,1
grab promo mantep diskon 15rb jd ngelebihin 15rb nya driver anter pesenan dehh mantul poko,1
tidak mulai menormalisasikan tidak merokok kendaraan bau asap rokok susah hilangapalgi penumpang grabcar anak anakbumilorang tuabaik kondisi sehat ataupun sakit please pengemudi konsumenhargai paru paru keluarga andadan penumpqng,1
diperbaiki maps nya sekarang sering tdk sesuai titik lokasi jauh akibat sering debat ama driver,1
pengemudi khofifatus sholihah motorcycle warna putih nopol s3878or selamat menikmati perjalanan rating 400 pengemudi khofifatus sholihah motorcycle warna putih nopol s3878or selamat menikmati perjalanan rating 400,0
