,review,label
0,orang pelanggan terbayang mohon diperhatikanlah sih abang driver iya deh pakai banyak diskon grab masa mengasih parkir z saja sepele bnget yaampun,1
1,keamanan kenyamanan konsumen perhatikan bnyk akun driver memakai akun berbeda kendaraan orang datang beda data akun aplikasi orang plat nomor kendaraan beda grab sama gojek selalu sesuai maxim,0
2,buset menunggu pesenan gacoan jam soal sampai jam tapi anter perkara driver tidak mau anter padahal tempat tinggal sama lokasi cuman yq menitan cok itupun disuruh menunggu yq menit buset deh,0
3,terimakasih gercep ramah baru pertama kali memakai jasa gojek online enggak salah memilih maxim jadi aplikasi,1
4,aplikasi boncos tarif minimum menyentuh zoo layanan pacar kau kira apaan mobil pribadi kau hargai segitu jeruk mafia banget kau aplikasi laknat,1
5,ketidakpastian aturan nya bikin jengkel saja gojek nya disini bayar massa pakai sosok suruh kenal terus,1
6,kasihan driver cuma BBoosaya beli bakso ongkir apakah iszoopadahal jarak tidak sampai ikmgila nih gojek,1
7,sejauh layanan paling bagus memang gojek sekarang harga jdi naik yaa dlu biasa saat paling kampus cuma lEk sekarang jdi diajak,0
8,sedih melihat driver bayar per diterima ternyata cuma baru perusahaan lebih memperhatikan driver,1
9,daftar malah bacaan tindakan tidak wajar memutuskan aneh bin ajaib aplikasi sangat susah mencari driver coba pengguna gojek max,0
10,selalu memberikan diskon utk gojek maupun pacar tapi mengecewakan kalo ujan pacar selalu membatalkan arah rumah saya,1
11,jujur tarif ongkir mahal bahkan beranggapan gojek plus potongan tidak seberapa bahkan jauh dibanding apakah sebelah apakah anak negeri harus lebih user friendly beberapa aspek,1
12,uang tidak balik akun lama ketidak tahun cara saya mengakses lapor tidak memberi solusi,1
13,tidak cancel lihat tidak tidak aplikasi kasihan driver tambahkan menu chat kek aplikasi,0
14,yq menit memutuskan pacar semua tidak bergerak mobil kehujanan mau bekerja apa memang driver pantau,0
15,parah sih mau pakai promo susu mau klik pesan eh hilang tiba tiba kalau tidak niat jgn php org sama pihak kapal manusiakan manusia masa argo serba yang kasihan driver nya bensin waduh parah banget umr naik argo turun,1
16,terimakasih mempermudah transportasi rumah nya jauh jual raya sangat sangat membantu,1
17,kalo memang tidak driver cari driver masa menunggu tau-tau cancel cuman gara-gara enggak ada driver lagian jam malam jam saja malam loh tadi pesan,1
18,pacar lebih baik ditiadakan saja banyak driver pilih-pilih harga mana customer atur tidak dikasih tips lebih parah sih,1
19,gojek bulan februari mahal banget banget banget padahal jarak dekat banget good presiden maupun pacar mahal enggak sesuai jarak voucher buat kartu bsi enggak bca,1
20,selebihnya sih oke tapi sebel pas hujan mau pesan makan laper nya susah banget dapat driver pdhal hujan nya reda,1
21,mohon penjelasan nya yang buron driver berdua ini eropa tarif nya grup gosok jadi grup sidoarjo berangkat balik pulang tarif sesuai grup gosok driver saja ini demi yang wahyu hidayat,0
22,selamat petang ijin berita gatot supriyanto akun gojek kok aktif sdh yq bulanan dipanggil-dipanggil,0
23,maaf mengalami kendala sama terkadang tidak bisa klik untuk membuka chat telp dari gojek tidak berdering krn gangguan sinyal bagaimana,0
24,tutorial cara pesan grab daerah menemukan pengemudi padahal apakah unit yq menit pesan tunggu carikan selama enggak menit pengemudi tidak temukan pesan grab daerah,0
25,enggak tau kalo pesan gojek selalu cancel driver ini padahal buru buru developer bagaimana apakah kok jadi gini padahal dulu fine fine,0
26,sopir pacar rada belagudah tau pesan pacar yq atau berapa orang dewasa yq anak kecil yq saja tidak mau bawa sumpah seret tuh driver rezeki nya,1
27,pengelola aplikasi gojek tekanan mitra terutama driver pacar utk lebih praktis membantu penumpang mempunyai disabilitas geraksakitlansia naikturun unit,1
28,aplikasi tidak tampilkan transportasi tdk biasa padahal sdh saya install ulang,0
29,kalau selesai mau buka chat nya kok tidak bisa kira gmn soal saya tadi barang ketinggalan dicari didepan motor pas turun saya lupa mungkin driver lupa saya tdk tau,0
30,tidak menyelesaikan masalah salah transfer akun lama pihak gojek tidak bantu membuka akun lama tidak ikhlas dunia akhirat,0
31,sejahtera driver min kasihan driver sampai kongkalikong ujan argo tambahkan kasianrataz driver ngeluh kalau atau,1
32,sejauh pemakaian selama hampir tidak pernah mendapatkan pengalaman buruk bisa kasus driver beralasan kejauhan meminta cancel mohon pertahankan kepuasan tetap kasih promo konsumen merugikan mitra,1
