stemmed_review,label
moga depan talang g susah dapat karna jual pakai jasa maxim perlu talang lama banget kalau cari driver mau talang,1
buat pusat grab baik jangan dikit tangguh buat driver jngn gampang lapor krna lapor km hilang rezeki driver lain,1
woi gojek kalo mau bikin verifikasi minimal depan belakang lah kamera depan doang apa si dulu tidak pakai verifikasi muka sekarang jadi pakai mau bikin protect driver jual beli account kocak lu gojek,1
aplikasi sangat baik bikin jelek drive cara bicara tidak sopan tidak pantas dengaringin rasa henti guna apalikasi initapi tidak semua driver gituini beberapa driver,1
maxsim bagus sayang nya nga fitur telpon buat driver sama buat poto kalau gojek buat amit maxsim biar telpon donk,0
semua daerah malang tidak titik lokasi jadi bingung mau ngeklik terus driver daerah malang tidak profesional aku diturunin jauh titik lokasi,0
ada gojek sangat bantu bepergiandengan guna aplikasi gojek sangat mudah laku pemesanansehingga lancar singkat waktu tunggu,1
suka driver tidak ramah ngomong nya kasar memang tidak semua sering,1
makin mahal ongkos kata bayar buat abang ojol tidak naik potong ongkos pihak gojek nya gede pantesan lari indriver,1
keren sih cuma sayang driver kurang banyak saat kyak gojk grb tidak mau nerima mau nerima pokok recommend lah,1
recommended bintang 5 driver oke oke jempol 5 top markotop pihak jasa aplikasi saran update fitur kini tidak tinggal aplikasi belah good job maxim sukses teruss,1
ko sering dapet nya jauh jauh terus jmpt nyatolong dong kasi driver nya jmpt ny jauh,1
2 kali sen nunggu 2 jam lebih tidak dapet driver pas mau batalin malah tolak sama gojek maksud nyaa apaahh keburu tengah malem nungguin nya,0
hilang tanggung jawab aplikasi tidak sedia admin langsung tanggap keluh langgan pusat bantu nya semua pesan robot tidak guna admin nya tidak tidak mau tanggung jawab apa jadi,1
akun tibatiba tidak login allah padahal cari rezeki gojek juang bangun nama gojek sukses,0
mau ganti email doang berapa kali coba tidak bisa2 gada solusi gojek kontoll,1
aplikasi sangat bantu mudah guna aku pernah go ride cuma bayar 4k tau,1
maxin sangat ribet tentu lokasi tidak gojek grab sangat kecewa mohon evaluasi apk maxim,1
orang kemudi faktor selamat paling utama perhati lanjut bersih n rapi kendara maupun driver nya,1
layan gocar makin buruk sen gocar banyak driver tidak respon kadang malah mnjauh dr lokasi tp tidak mau cancel aplikasi gojek aware sm driver2 kyk gin sangat kecewa,1
trmksh bnyak driver sangat ramah baiktrmksh sdh bantu mngendong ank smp k rmh ank kondisi sakit trmksh sllu nerbuat baik omm,1
apk bagus cuman saran adain fitur ganti ratingbintang pernah salah kasih rating hp error padahal mau kasih bintang 5 kasi driver,1
anugerah dewantoro trima kasih banyak mas sangat bantu banget tahu banget rute layan ramah good job mugi gusti tansyah maringi rejeki lancar ksehatan selamat aamiin,1
baru kali coba transport garap ndak tau semua driver garap doktrin alami ramah baik nyaman pokok markotop lah,1
halo gojek aplikasi tidak buka guna versi baru masuk aplikasi selalu keluar bantu,0
beri bintang 4 maps gojek suka tidak gerak driver gojek nya tuju,0
sumpah gojek ama driver jahat banget sama gue dapet bilang on the way kena cancel mulu mana susah banget dapet yaallah,1
gojek kalo abis ujan susah nyari driver 510 gilir dpat jarak driver jauh banget padahal deket banyak malah tidak aneh apk,1
ada gojeksaya khususnyasangat bantu kalau malas keluar rmhsmg layan trus ditingkatkandari baik jadi lbh baik lgmaksh gojek,1
hari dapet driver g d respon nungguin lama g d jemput hampir jam nungguin mulai hari uninstall aplikasi habis notifikasi balas mohon maaf tidak ubah lihat komentar d bawah tanggal tanggal belum sangat buruk,1
aplikasi gojek apa selalu lama jemput customer bilang 1 menit tp datang 5 menit kemudian tidak jels tidak usah pakai apk,1
tetap sy ksh tp saran kalau hujan jgn susah krna hujan grabcar sangat butuh,1
verifikasi muka bukan mudah malah sulit muka pas malah tak deteksi makin gajelas gojek bikin gregetan aja,1
maps sering tidak bergerakdriver nya muter2pesan gocar prioritas tunggu 30 menit padahal jalan lancar,0
makin lama makin tidak beres nya aplk gojek mesan gocar selalu cancel kemudi selalu susah buat dapat kemudi baik la,1
driver nya ramah baik langgan pu trauma jatuh driver mau nurutin pelan pelan driver sangat percaya terima kasih pak driver sehat sehat terus pak,1
banyak kendara roda dua tidak layak pakai beri jadi driver maxim layan nyaman utama,1
driver cari benar baik 2 kali driver kurang ajar padahal percaya pakai maxim,1
grab tidak jelas makin hari makin naik grab hemat lama kalo naik terus gin gamau pakai grabdan driver suka tidak jalan tungguin lama,1
sangat bantu jalan mudah capai tempat tuju mudah dapat ingin,1
aplikasi nya selalu tidak akurag mrncari titik jemput tuju nya pakai gps bagus dong baik gps nya biar banyak guna nya,1
aplikasi tidak jelas susah cari gocar cancel enak padahal nunggu lama layan baik g kompensasi,1
cari gocar lama banget mau tf bank lama banget loading nya tidak muncul2,1
makin kesini makin g jelas banyak iklan nya org nunggu driver tiba tiba d alih halaman iklan,0
eror apa gimana belakang driver jauh terus pada prioritas gitu pihak driver suka ngecancel tiba tiba,1
download nya lama sekalidiskon cuma awal pakaitapi enak gojek nya selalu dpet ramah baik 9510 aplikasi,1
gojek topp bangett mksih bangett buat orang bikin apk ini ini ngebantu bangett buat sayaa banyakk ceritaa alam seruu gojek sabar nunggu cerita tahun 2025 nanti bareng gojekk capslock bukan marah yaa jek,1
baru apk nya ta3k banget sama driver suka cancel suspend aja suka cancel mau kerjain driver pesenpas sampe cancel,1
mohon timbang rekrut driver gojek banyak gojek sekarang tidak milik attitude baik alias kasaryang non costumer banyak keluh mohon selisih driver tidak milik attitude baik terimakasih,1
grab promo mantep diskon 15rb jd ngelebihin 15rb nya driver anter sen dehh mantul poko,1
tidak mulai normalisasi tidak rokok kendara bau asap rokok susah hilangapalgi tumpang grabcar anak anakbumilorang tuabaik kondisi sehat atau sakit please kemudi konsumenhargai paru paru keluarga andadan penumpqng,1
baik maps nya sekarang sering tdk sesuai titik lokasi jauh akibat sering debat ama driver,1
kemudi khofifatus sholihah motorcycle warna putih nopol s3878or selamat nikmat jalan rating 400 kemudi khofifatus sholihah motorcycle warna putih nopol s3878or selamat nikmat jalan rating 400,0
driver jauh jadi lama baik sistem jarak driver sama cs tidak lebih 2km jadi tidak nunggu lama,0
dekat banyak jauh app lama kq kalah sama app baru buru malah suruh nggu driver jauh lama makin sering guna makin tidak jelas ni app banyak makan uang driver,1
tidak bagus banget tiap cari driver lama sekali sengaja apa karna biaya nya terlalu murah jadi driver tidak mau angkut mohon tindak lanjut padahal posisi driver dekat semua,1
plis banget kalo ngarahin map bener bener aja lewat jalan umum aja gausah ngide nyari jalan paling cepet malah jadi lama tidak semua driver paham kasi,1
bandara tambah biaya admin parkir kalau total jadi lebih mahal gocar grabcar,1
harga argo tumpang sama si sopir beda driver ta lewat jalan mana kalo datang tidak tau jalan gimana,0
kerja gojek ting tidak mau kalau dekat cari uang puluh 20 ajh ting banget,1
bintang 4 dulu beberapa tingkat maupun aplikasi atau driver,1
potong sangat besar beban kan pihak konsumen driver sedikit aplikasi budak founder malaysia emang negara musuh indonesia,1
selamat hidup aku pakai transportasi online hitung dgn jari kanan tp alam bagus semu driver sopan baik usaha ngobrol akrab,1
layan go investasi tidak akses padahal upgrade grde makin tidak jelas gojek nya bukan problem solver sekarang jadi problem maker,1
mantap supir nya rama baik mobil nya bersih wagi wak pokok nnya jos x,1
beberapa driver nya kurang ajar baru jadi baru nunggu 2 menit ngamuk kayak nunggu tahun,1
dong kalau hujan d baik posisi driver nya jauh jauh semua padahal banyak dekat kalau d liat maps,1
aplikasi bagus pernah ngalamin salah tf 110rb driver gojek tp cs mau bantu dana potong gocar nya banyak aplikasi sangat bantu recommended lahh,0
gatau kalo pesan gojek selalu cancel driver 10x padhl buru buru developer bagaimana apk kok jadi gin padahal dulu fine fine,0
peta utk konsumen baik sering nyangkut peta nya jd tidak tahu sampe mana driver jemput nganter mknan nya,0
baik masalah jemput driver jauh jauh liat driver posisi dekat,1
pesan gocar mau hemattidak jam malam tidak nerima padahal banyak sekitar daerah stasiun prambanan heran,1
driver bad attitude minta harga lebih dr aplikasi alas tidak promo padahal aplikasi cantum harga beda minta driver,1
banayk iklan tidak jelas padahal main geme seru seru nya keluar tiba tiba karna iklan iklan jangan ganggu,1
tidak gojek susah area surabaya utara aplikasi sampah nunggu 1jam tidak dapat2 limit blokir aplikasi sampah,0
peke gocar hemat jam set 2 sampe jm set 5 gaada satu driver mau ambil padahal nominal bayar makin naik lebih gocar biasa sangat tidak senang,0
woi gojekkira2 klu bikin tarif nga mikir apa jemput 34kmongkos nya kadang 1520ribungalah2 in angkotini ngalahin rentenir potong nya buat perintah tutup aja apk penghisap darah orang ongkos murah kena potong,1
sekarang tarif mahal dulu trip biasa 11rb13rb skrg jadi 20rblama2 ku log out nih gojek,1
senang aja dgn aplikasi promo sj skrg jd dpt abg grab jauh trs jd butuh waktu nunggu jd lama mau cancel kasihan abg grab ksh driver dekat aja,1
gojek sekarang tidak kayak dulu sekarang jadi mirip aplikasi scam banyak promo daftarin goplus promo nya malah ilang semua voucher sengaja bikin tidak tanggal laku biar waktu hapus asa tipu aplikasi sampah,0
nunggu 2 jam tidak dapet driver plis memang tidak driver batal jgn php,0
sinyal buruk pakai kartu perdana apa kalau chatingan pending pending mulu heran aku sama gojek,1
bajing terlalu lama nunggu nya gojek sial kalau tidak minimal batalin tolol lama lama nunggu baru bilang dk dk driver ngapa tidak awal awal,1
parah kalo hujan harga tidak stabil driver jadi tidak mau angkut tumpang harap harga naik terus naik tidak jelas manajemen nya,1
layan goride sangat bantu aktifitas hari motor sedang baik bengkel masuk nya mgkin cuman kalo cuaca sedang hujan dlm situasi urgent butuh transport sering lama dpt driver nya,1
layan tidak ramah baru pertama kali pakai grab kesan driver sangat buruk gabakal mau pakai grab,1
aplikasi diupdate malah makin jelk dam kadang suka driver jauh buat lama tunggu,1
driver tidak jelas nunggu lama malah dicancle lebih baik driver kalau tidak mumpuni pecat,1
pak sopir ramah sopan erti tumpang tempat titik jemput daerah labuh terima kasih pak sopir baik hati tuhan kati,1
tidak request refund dana mandiri aplikasi grab mudah cara request refund dana,0
baru tau sy kalau maxim murah kalau sy mau pakai maxim trus trimakasih driver nya abang nya baik bgtnganter tempat tuju dgn selamat,1
kasi driver nya dapat nya kecil buat 1kali trip nya ongkos aplikasi nya mahal tambah maps nya kadang eror paling penting ongkos yng terima driver beda jauh sama ongkos apk gojek nya,1
cuaca bagus jam sibuk kagak cari driver kaya cari emas lama kayak hewan hibernasi,1
kacau banget kecewa beri tahu semua driver mobil jangan apa apa lewat tol padahal lewat jalur biasa aja niat mau hemat malah boros bayar tol,1
kalau kata parah banget sih lu tarif murah murah bngt kasi driver lah mikir apa cuy kasihan deiver masa tarif motor goceng berkilo2 mobil 14rb berkilo2 tidak mikir apa butuh bensin lain2 kalau bangkrut kan lu susah parah bener lu,1
buruk sekali sekarang driver gocar yahbanyak alas buat cancel tumpang kala hujan semua nunggu ambil pas tarif mahalburuk banget sekarang gojek,1
bilangin driver mu kalau nyetir sepeda cepet dong padahal jalan sepi aja dilambatin nyetir cokk anj bangkrut aja luhh pu nya makarim bedes,1
percuma e wallet tp driver mau tunai kalau bikin aplikasi jangan nanggung dong,1
gojek nya baguss super duper jedar jedorr bintang 5 etmin jgaa asikk nya minta ampunn dah angkat tangan kalo mah yuk egee buru download gojek jan pakai lama sini gwa tunjukkin layan bagus,1
tidak jelas wifi kencang tidak ganggu utk main game lancar gilir aplikasi blg internet mati terus internet tidak stabil lah,0
driver baik bintang nya kalo 10 tak kasih nya 11 layan sangat luar biasa baik nya,1
sekarang susah banget dapet driver terlalu pilih pilih males padahal selalu kasih tips tahun tahun pakai skrg kesel banget driver kalo gamau pick up yaudah langsung cancel aja jngn dibiarin nunggu lama lama tidak gerak gerak tidak mau konfirmasi,1
jauh cukup bantu sekali banyak promo good lah pernah sekali maki maki driver tunggu hehehe gpp manusiawi kalo marah marah tp tetap pakai gojek kog aman,1
aman nyaman ramah kantong khusus kalang ajar kalau driver ramah wangi lebih baik sukses selalu jasa maxim luar biasa,1
gabisa login terus malah suruh nggu 30 jam padahal skrg laper banget pgn cb sen makan gojek waras,0
3 kali pesan aja gc dapet driver 2 jam nunggu tiga kali batal,0
dear developer gojek kalau nulis deskripsi update aplikasi bener kaga usah lu bolak balik gitu kalimat kalau tidak nulis sini tidak usah tulis lol,1
kalau hari libur maps buat driver update soal ui kalau hari libur semua gerbang tutup cuma lewat dekat tugu buku kasi driver nya mutar jauh banget,1
pesan driver datang tawar luar aplikasi offline cancel banyak driver tuju usaha terlalu serakah tidak empati dgn mitra,1
aplikasi sampah wajar aja banyak ditinggalin driver langgan pindah kesebelah3x download gagal trus ngures kuota doang,1
driver engkong2 walaupun gemetar naek paling tidak maxim mau beri kerja tidak pandang usiabuat engkong driversehat terus,1
buat customer kaya tokai kalau jgn maen cancel aja kalo sekira nya dpt nya jauh driver kabarin jgn enak nya maen cancel driver sampe jemput maen cancel ajaklo customer cancel potong 50 driver,1
aplikasi tidak tampil transportasi tdk biasa padahal sdh sy instal ulang,0
oknum driver nya kurang sopan padahal kan baru bom terlalu paham nya kasih edukasi bukan malah katain kasar,1
sejahterain driver min kasi driver sampe ngalong ujan2n argo tambahin kasianrata2 driver ngeluh kalau ta,1
baik kerja driver apk nya gojek solusi dong buat driver biar autobid pas ujananeh susah banget driver kalo ujanmanja bgtkesel deh driver manja kalo ujan gamau narikga butuh rejeki apa,1
aplikasi aneh tiba tiba muncul tagih ongkos tolparkir tahun sebelum2 padahal lama dipake aman aja memang bayar tidak jelas stop pakai gojek uninstall adl jawab baik,0
bapak ramah baik bgd mau bawa kitadari tadi mo klinik bawa sakit susah bgd sen ojol dibatalin trsterima kasih pak mau bawa saat butuh bgdmaaf cm bs kasih tips sedikitsehat selalu bapak,1
makin gajelasbuat dapet promo aja langgan gojek plussekarang tidak promo kaya dulu lagimakin update makin gajelaspadahal ngasih promo profit banyak banget taxaplikasi kikir,1
bingung sama gojek pakai gojek nya lebih cepat tidak tunggu lama dn harga ny makin naik kalau cuaca hujan nya driver selalu ready masa tunggu trus sihh jadi solusi gun ojol hadehh,1
tegas mitra grab car pesan grab car hemat plus xl hampir 2 jam cancel terus sama driver,0
update malah nambah fitur verifikasi selfie gajelas lama kepala sampe ngangguk2 tidak jelas tidak tembus sen driver malah kaya orang dongo tempat umum ngangguk2 verifikasi ribet,1
trauma banget tiap naik grab car gaada bener tiap jalan supir ngeluh mulu macet lah apa padahal customer gatau apa apa soal gitu memang resiko mohon adain fitur silent buat kemudi biar tidak banyak ngeluh ngomong,1
kasih opsi tetap guna update kadang pepet sinyal lot jadi lama mau nyari driver,1
perlu sesuai sering kasih driver jauh titik jemput terus jadi sering cancel tambah fitur pilih driver pilih driver dekat,1
gojek banyak boong bilang 1mnt lgi ta undur jadi 4 mntt apa cobaa banyak nipu nyagk sesuai y promosiin tolol emng,0
hari guna grab aplikasi sangat bagus nyaman driver nya fast respon terkadang kalau sedang hujan aplikasi suka loading lama,1
selamat pagi moga maxim lebih bagus belum khusus pulau nias sangat bantu ada maximha sajasaya ken lbh tambah bayar jasa onlinemaximpay aman tdk jadi,1
