,review,label
0,tolang pelanggan terrsayang mohon diperhatikanlah si abang driver iya dah pakai banyak diskon grab masa ngasih parkir 2rb aja sepele bnget yaampun,1
1,keamanan kenyamanan konsumen perhatikan bnyk akun driver memakai akun berbeda kendaraan orang datang beda data akun aplikasi orang plat nomor kendaraan beda grab sama gojek selalu sesuai maxim,0
2,buset nungguin pesenan gacoan jam 1049 sampe jam 1 anter perkara driver tidak mau anter padahal tempat tinggal sama lokasi cuman 8 menitan cok itupun disuruh nunggu 28 menit busett dah,0
3,terimakasih gercep ramah baru pertama kali make jasa gojek online g salah milih maxim jadi aplikasi,1
4,aplikasi boncos tarif minimum menyentuh 10200 layanan gocar kau kira apaan mobil pribadi kau hargai segitu jek mafia banget kau aplikasi laknat,1
5,ketatin aturan nya bikin jengkel az gojek nya disini bayar massa pakai gosop suruh kensel trus,1
6,kasihan driver cuma 8800saya beli bakso ongkir apk 15200padahal jarak tidak sampe 1kmgila nih gojek,1
7,sejauh layanan paling bagus memang gojek sekarang harga jdi naik yaa dlu biasa st pasming kampus cuma 13k sekarang jdi 17k,0
8,sedih melihat driver bayar 13rb diterima ternyata cuma 8rb perusahaan lebih memperhatikan driver,1
9,daftar malah bacaan tindakan tidak wajar mesan aneh bin ajaib aplikasi sangat susah mencari driver coba pengguna gojek max,0
10,selalu memberikan diskon utk gojek maupun gocar tp mengecewakan kalo ujan gocar selalu membatalkan arah rumah sy,1
11,jujur tarif ongkir mahal bahkan berlangganan gojek plus potongan tidak seberapa bahkan jauh dibanding apk sebelah apk anak negeri harus lebih user friendly beberapa aspek,1
12,uang tidak balik akun lama ketidak taun cara sy mengakses lapor tidak memberi siludi,1
13,tidak dicancel dichat tidak tidak aplikasi kasian driver tambahin menu chat kek aplikasi,0
14,45 menit mesan gocar semua tidak bergerak mobil kehujanan mau bekerja apa memang driver pantau,0
15,parah sih mau pakai promo 55 mau klik pesan eh ilang tiba tiba kalau tidak niat jgn php org sama pihak apl manusiakan manusia masa argo 5rb an kasian driver nya bensin ihh parah banget umr naek argo turun,1
16,terimaksih mempermudah transportasi rumah nya jauh jl raya sangat sangat membantu,1
17,kalo memang tidak driver cari driver masa nunggu tau2 cancel cuman gara2 gada driver lagian jam malem jam 7 malam loh tadi pesan,1
18,gocar lebih baik ditiadakan aja banyak driver pilih2 harga mana customer atur tidak dikasih tips lebih parah si,1
19,gojek bulan februari mhal banget banget banget padahal jrak dekat baget go ride maupun gocar mhal g sesuai jarak voucheer buat krtu bsi g bca,1
20,selebih sih oke tp sebel pas hujan mau pesen makan laper nya susah banget dpt driver pdhal hujan nya reda,1
21,mohon penjelasan nya an nusron driver b 1961 rop tarif nya rp 97500 jadi rp 1070 berangkat balik pulang tarif sesuai rp 99500 driver z 1517 em an wahyu hidayat,0
22,selamat petang ijin berta gatot supriyanto akun gojek kok aktif sdh 4 bulanan dipanggil2,0
23,maaf mengalami kendala sama terkadang tidak bs klik unt membuka chat telp dr gojek tidak berdering krn gangguan sinyal bagaimana,0
24,tutorial cara pesen grab daerah menemukan pengemudi padahal apk unit 4 menit pesen tunggu cariin selama 9 menit pengemudi tidak temukan pesan grab daerah,0
25,gatau kalo pesan gojek selalu cancel driver 10x padhl buru buru developer bagaimana apk kok jadi gini padahal dulu fine fine,0
26,sopir gocar rada belagudah tau pesan gocar xl ta berapa orang dewasa 3 anak kecil 3 aja tidak mau bawa sumpahin seret tuh driver rezeki nya,1
